Timestamp,Ethical Consent,I think that I would like to use the game frequently.,I found the game unnecessarily complex.,I thought the game was easy to use.,I think that I would need the support of a technical person to be able to use the game.,I found the various functions in the game were well integrated.,I thought there was too much inconsistency in the game.,I would imagine that most people would learn to use the game very quickly.,I found the game very cumbersome (awkward) to use.,I felt very confident using the game.,I needed to learn a lot of things before I could get going with the game.,SUS Score,I found the game fun to play,I would happily play this game if it was implemented into my University curriculum,"Do you feel like this game helped develop your communication skills in anyway, and if so what aspects of the game do you think helped achieve this? If you don't think this game helped develop these skills, can you explain why?",Do you have any suggestions of how the Explore MMO  could be improved to help develop communication skills further?,Is there any features you would like to be see added to Explore MMO in the future?,"Did you identify any bugs or errors using Explore MMO, and if so what were they?",,,,,,,,,,,,,,,,,,,,
2021/02/10 6:22:05 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,1,5,1,5,2,5,3,5,1,90,2,3,"Some aspects, such as the maze were good, but the quest to the church was very difficult to do with text alone",Voice chat,More variety of quests - blindfold is boring,"Yes, it was impossible to view the instruction book after starting the mountain quest, which was necessary",,,,,,,,,,,,,,,,,,,,
2021/02/10 6:24:32 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",5,1,5,1,4,2,5,2,5,1,92.5,4,4,It allowed me to communicate with other people in ways that I have not communicated before. It also improved my typing skills.,"A friends system would be nice so that I can chat with people individually as I feel with more players, my chat would be lost.",A minimap so I could see where I was going. It would be nice to have an option to voice chat with other players as it sometimes became frustrating having to type out everything I wanted to say.,"The ""Press E to interact"" sometimes flickered when I was close to it",,,,,,,,,,,,,,,,,,,,
2021/02/11 1:08:59 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,1,5,1,4,1,5,2,4,1,90,5,4,I think this game did help my communication skills as it required me to communicate in unique ways to complete tasks. The quests which required at least two people I believe helped achieve this as it required problem solving and how to communicate clearly via the chat function. I do believe however the limited number of quests limits the potential this game could have to develop skills. ,I believe having a voice chat would help develop communication skills and I believe I could help other users more quickly and clearly. ,"As  I mentioned already the voice chat would improve the game. Additionally a friends list would be nice, so if I went back onto the game in the future I can see if a player I have already started to build an online relationship with is active as it may allow me to complete tasks more efficiently,  Then potentially you would be able to persona message specific users, so your chat is not seen by all the users active.","A bug where when I started the mountain quest I could not read the book in the church, but when I did not have a quest started it would let me read the book.",,,,,,,,,,,,,,,,,,,,
2021/02/11 1:24:36 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,1,5,2,5,2,5,2,5,1,90,5,4,"Not completely sure if the game did or not. It was challenging, but I do not feel like my ability to communicate is any better.  This might be because there was only text chat? Voice chat would be more likely for me to see how this game could develop communication skills.",I think a voice chat would benefit the communication.,"More quests would be nice, maybe like procedurally developed ones? So like there are unique quests everytime I log in. ",One of the lines of text in the book in the church was not inline with the others,,,,,,,,,,,,,,,,,,,,
2021/02/12 1:07:25 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",3,2,5,1,4,3,5,1,5,1,85,3,4,I feel like the game helped my typing skills because the chat was only text and no voice,"Voice chat, additionally more complex quests would be fun and could require more communication with other players ",A friends list would be fun and a mini map so I do not get lost,N/A,,,,,,,,,,,,,,,,,,,,
2021/02/12 1:12:39 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,2,5,1,4,2,4,4,5,1,80,5,3,I feel like the quests where i could not see helped develop skills as I was reliant on other players to try a describe to me where to go. The treasure hunt quests also I feel developed these skills as I and the other player had to describe as best as we could where a location of a item was and the time constraint put added pressure so I feel like it could have maybe helped develop skills of communication under pressure,More quests so there is more to talk with other players about,N/A,N/A,,,,,,,,,,,,,,,,,,,,
2021/02/12 3:43:05 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,1,4,1,5,1,5,1,4,1,92.5,5,5,"yes, the blind fold aspects enhanced my communications skills while the quests were also very fun to play. ",more quests. i thoroughly enjoyed the 5 in the game and would happily play hundreds more.,accolades for completing quests. maybe a voice game chat rtaher than typing. a leaderboard for time to complete quests would aslo be good.,no.,,,,,,,,,,,,,,,,,,,,
2021/02/12 3:53:57 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",4,1,4,1,5,1,5,1,5,1,95,5,4,"The time limit set on the quests encouraged me to communicate with other players to complete the quests, which in turn helped improve my communication skills under pressure.","voice chat , emotes",A leaderboard for time to complete tasks,n/a,,,,,,,,,,,,,,,,,,,,
2021/02/12 6:19:53 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",5,2,5,2,4,1,5,1,4,1,90,5,5,"Yes the game helped develop my communication skills. All of the tasks encouraged team work with my partner in the game, especially the task where either of us were blindfolded.",Some restrictions could be implemented into the game chat the make the communication more challenging. This would mean the players have to work harder on their communication skills in order to communicate more effectively. Also a voice chat feature could be implemented.,I enjoyed all the of the quests but some different quests could be implemented that test a wider variety of communication skills. Also a minimap would be helpful. Character customisation would also be great.,No large bugs were detected. The text within the instructions in the church were formatted slightly incorrectly.,,,,,,,,,,,,,,,,,,,,
2021/02/12 6:21:14 PM GMT,"I confirm that I am a student over the age of 16, have read the information above and agree to take part in this study",5,3,5,2,5,1,5,1,4,1,90,5,5,"I strongly feel like the game has improved my communication skills, as it requires effective cooperation and communication to help your partner navigate their way through certain quests.","A greater variety of quests that involve the help of your playing partner, like an interactive treasure map or riddle quest etc.","Some rewards for completing quests, like accolades or customisable gear. A minimal showing your position in the world would also be helpful. When a characters quest has been completed it could display an emote or signal that indicates the quest was completed already.","I did not notice any bugs or glitches, the game ran perfectly smooth!",,,,,,,,,,,,,,,,,,,,
